id,short_name,long_name,project,asset_cat
1,BTC,Bitcoin,Bitcoin,Layer 1
2,ETH,Ethereum,Ethereum,Layer 1
3,ADA,Cardano,Cardano,Layer 1
4,ONE,Harmony One,Harmony One,Layer 1
5,VET,Vechain Thor,Vechain Thor,Layer 1
6,SOL,Solana,Solana,Layer 1
7,LINK,Chainlink,Chainlink,Oracle
8,AVAX,Avalanche,Avalanche,Layer 1
9,LUNA,Terra Luna,Terra Luna,Layer 1
10,COSMOS,Cosmos,Cosmos,Layer 1
11,AAVE,Aave,Aave,DeFi
12,BNB,Binance,Binance,Layer 1
13,CAKE,Pancake Swap,Pancake Swap,DeFi
14,FTM,Fantom,Fantom,Layer 1
15,DOT,Polkadot,Polkadot,Layer 1
16,MATIC,Matic,Matic,Layer 2
17,UNISWAP,Uniswap,Uniswap,DeFi
18,CURVE,Curve,Curve,DeFi
19,ALGO,Algorand,Algorand,Layer 1
20,FTT,FTX Token,FTX Token,CEX Token
21,AR,Arweave,Arweave,Storage
22,FIL,File Token,File Token,Storage
23,SUSHI,Sushi Swap,Sushi Swap,DeFi
24,IRIS,Iris,Hermes,Governance
25,PLTS,Plutus,Hermes,Utility
26,LUMEN,Lumen,Tranquility City,Gaming
27,FUZZ,Fuzz,Fuzz,Betting
28,VIPER,Viper,ViperSwap,Utility/Governance
29,JEWEL,Jewel,Defi Kingdoms,Utility/Governance
30,WSWAGMI,Wrapped Swagmi,Euphoria,DeFi
31,MAGIC,Magic,Cosmic Universe,Gaming
32,COSMIC,Cosmic,Cosmic Universe,Gaming
33,APE,Ape,Harmonape,NFT
34,ROY,Crypto Royale,Crypto Royale,Gaming
35,HOLY,Holy,Holy Grail,Gaming
36,XVIPER,xViper,ViperSwap,DeFi
37,hrc20_venom_lp_iris_wone,hrc20_venom_lp_iris_wone,ViperSwap,Liquidity Pool
38,hrc20_venom_lp_plts_dai,hrc20_venom_lp_plts_dai,ViperSwap,Liquidity Pool
39,hrc20_dfk_lp_lumen_wone,hrc20_dfk_lp_lumen_wone,Defi Kingdoms,Liquidity Pool
40,hrc20_fuzz_lp_fuzz_wone,hrc20_fuzz_lp_fuzz_wone,Fuzz,Liquidity Pool
41,hrc20_venom_lp_viper_wone,hrc20_venom_lp_viper_wone,ViperSwap,Liquidity Pool
42,hrc20_dfk_lp_jewel_wone,hrc20_dfk_lp_jewel_wone,Defi Kingdoms,Liquidity Pool
43,hrc20_venom_lp_wswagmi_wone,hrc20_venom_lp_wswagmi_wone,ViperSwap,Liquidity Pool
44,hrc20_loot_lp_magic_wone,hrc20_loot_lp_magic_wone,LootSwap,Liquidity Pool
45,hrc20_loot_lp_cosmic_wone,hrc20_loot_lp_cosmic_wone,LootSwap,Liquidity Pool
46,hrc20_venom_lp_ape_wone,hrc20_venom_lp_ape_wone,ViperSwap,Liquidity Pool
47,hrc20_venom_lp_roy_wone,hrc20_venom_lp_roy_wone,ViperSwap,Liquidity Pool
48,hrc20_dfk_lp_lumen_wone,hrc20_dfk_lp_lumen_wone,Defi Kingdoms,Liquidity Pool
49,hrc20_dfk_lp_hly_wone,hrc20_dfk_lp_hly_wone,Defi Kingdoms,Liquidity Pool
50,hrc20_loot_lp_eth_uni,hrc20_loot_lp_eth_uni,LootSwap,Liquidity Pool
51,hrc20_venom_lp_xviper_wone,hrc20_venom_lp_xviper_wone,ViperSwap,Liquidity Pool
52,hrc20_sushi_lp_tranq_wone,hrc20_sushi_lp_tranq_wone,Tranquil Finance,Liquidity Pool
53,hrc20_defira_lp_tranq_wone,hrc20_defira_lp_tranq_wone,Tranquil Finance,Liquidity Pool
54,TRANQ,Tranq,Tranquil Finance,DeFi
55,STONE,stONE,Tranquil Finance,DeFi
